year,sample,island,pool,magna,longispina,pulex,poolname
2006,2,G,100,0,0,0,G-100
2007,1,G,100,0,0,0,G-100
2007,2,G,100,0,0,0,G-100
2008,1,G,100,0,0,0,G-100
2008,2,G,100,0,0,0,G-100
1982,1,G,101,NA,NA,NA,G-101
1982,2,G,101,0,0,0,G-101
1983,1,G,101,0,0,0,G-101
1983,2,G,101,0,0,0,G-101
1984,1,G,101,0,0,0,G-101
1984,2,G,101,0,0,0,G-101
1985,1,G,101,0,0,0,G-101
1985,2,G,101,0,0,0,G-101
1986,1,G,101,0,0,0,G-101
1986,2,G,101,0,0,0,G-101
1987,1,G,101,0,0,0,G-101
1987,2,G,101,0,0,0,G-101
1988,1,G,101,0,0,0,G-101
1988,2,G,101,0,0,0,G-101
1989,1,G,101,0,0,0,G-101
1989,2,G,101,0,0,0,G-101
1990,1,G,101,0,0,0,G-101
1990,2,G,101,0,0,0,G-101
1991,1,G,101,0,0,0,G-101
1991,2,G,101,0,0,0,G-101
1992,1,G,101,0,0,0,G-101
1992,2,G,101,0,0,0,G-101
1993,1,G,101,NA,NA,NA,G-101
1993,2,G,101,0,0,0,G-101
1994,1,G,101,0,0,0,G-101
1994,2,G,101,0,0,0,G-101
1995,1,G,101,0,0,0,G-101
1995,2,G,101,0,0,0,G-101
1996,1,G,101,0,0,0,G-101
1996,2,G,101,0,0,0,G-101
1997,1,G,101,0,0,0,G-101
1997,2,G,101,0,0,0,G-101
1998,1,G,101,0,0,0,G-101
1998,2,G,101,0,0,0,G-101
1999,1,G,101,0,0,0,G-101
1999,2,G,101,0,0,0,G-101
2000,1,G,101,0,0,0,G-101
2000,2,G,101,0,0,0,G-101
2001,1,G,101,0,0,0,G-101
2001,2,G,101,0,0,0,G-101
2002,1,G,101,0,0,0,G-101
2002,2,G,101,0,0,0,G-101
2003,1,G,101,0,0,0,G-101
2003,2,G,101,0,0,0,G-101
2004,1,G,101,0,0,0,G-101
2004,2,G,101,0,0,0,G-101
2005,1,G,101,0,0,0,G-101
2005,2,G,101,0,0,0,G-101
2006,1,G,101,0,0,0,G-101
2006,2,G,101,0,0,0,G-101
2007,1,G,101,0,0,0,G-101
2007,2,G,101,0,0,0,G-101
2008,1,G,101,0,0,0,G-101
2008,2,G,101,0,0,0,G-101
1982,1,G,102,NA,NA,NA,G-102
1982,2,G,102,0,0,0,G-102
1983,1,G,102,0,1,0,G-102
1983,2,G,102,0,1,0,G-102
1984,1,G,102,0,1,0,G-102
1984,2,G,102,0,1,0,G-102
1985,1,G,102,0,1,0,G-102
1985,2,G,102,0,1,0,G-102
1986,1,G,102,0,1,0,G-102
1986,2,G,102,0,1,0,G-102
1987,1,G,102,0,1,0,G-102
1987,2,G,102,0,1,0,G-102
1988,1,G,102,0,0,0,G-102
1988,2,G,102,0,1,0,G-102
1989,1,G,102,0,1,0,G-102
1989,2,G,102,0,0,0,G-102
1990,1,G,102,0,0,0,G-102
1990,2,G,102,0,1,0,G-102
1991,1,G,102,0,0,0,G-102
1991,2,G,102,0,1,0,G-102
1992,1,G,102,0,0,0,G-102
1992,2,G,102,0,1,0,G-102
1993,1,G,102,NA,NA,NA,G-102
1993,2,G,102,0,1,0,G-102
1994,1,G,102,0,1,0,G-102
1994,2,G,102,0,0,0,G-102
1995,1,G,102,0,1,0,G-102
1995,2,G,102,0,0,0,G-102
1996,1,G,102,0,1,0,G-102
1996,2,G,102,0,1,0,G-102
1997,1,G,102,0,0,0,G-102
1997,2,G,102,0,0,0,G-102
1998,1,G,102,0,1,0,G-102
1998,2,G,102,0,1,0,G-102
1999,1,G,102,0,1,0,G-102
1999,2,G,102,0,0,0,G-102
2000,1,G,102,0,1,0,G-102
2000,2,G,102,0,1,0,G-102
2001,1,G,102,1,1,0,G-102
2001,2,G,102,1,1,0,G-102
2002,1,G,102,1,0,0,G-102
2002,2,G,102,1,0,0,G-102
2003,1,G,102,1,0,0,G-102
2003,2,G,102,1,0,0,G-102
2004,1,G,102,1,0,0,G-102
2004,2,G,102,0,1,0,G-102
2005,1,G,102,1,1,0,G-102
2005,2,G,102,1,1,0,G-102
2006,1,G,102,1,1,0,G-102
2006,2,G,102,1,0,0,G-102
2007,1,G,102,1,0,0,G-102
2007,2,G,102,0,1,0,G-102
2008,1,G,102,1,1,0,G-102
2008,2,G,102,1,1,0,G-102
1982,1,G,103,NA,NA,NA,G-103
1982,2,G,103,0,0,0,G-103
1983,1,G,103,0,0,0,G-103
1983,2,G,103,0,0,0,G-103
1984,1,G,103,0,0,0,G-103
1984,2,G,103,0,1,0,G-103
1985,1,G,103,0,0,0,G-103
1985,2,G,103,0,0,0,G-103
1986,1,G,103,0,1,0,G-103
1986,2,G,103,0,0,0,G-103
1987,1,G,103,0,0,0,G-103
1987,2,G,103,0,0,0,G-103
1988,1,G,103,0,0,0,G-103
1988,2,G,103,0,0,0,G-103
1989,1,G,103,0,1,0,G-103
1989,2,G,103,0,0,0,G-103
1990,1,G,103,0,0,0,G-103
1990,2,G,103,0,0,0,G-103
1991,1,G,103,0,0,0,G-103
1991,2,G,103,0,0,0,G-103
1992,1,G,103,0,0,0,G-103
1992,2,G,103,0,0,0,G-103
1993,1,G,103,NA,NA,NA,G-103
1993,2,G,103,0,1,0,G-103
1994,1,G,103,0,1,0,G-103
1994,2,G,103,0,0,0,G-103
1995,1,G,103,0,1,0,G-103
1995,2,G,103,0,0,0,G-103
1996,1,G,103,0,0,0,G-103
1996,2,G,103,0,1,0,G-103
1997,1,G,103,0,0,0,G-103
1997,2,G,103,0,0,0,G-103
1998,1,G,103,0,0,0,G-103
1998,2,G,103,0,0,0,G-103
1999,1,G,103,0,0,0,G-103
1999,2,G,103,0,0,0,G-103
2000,1,G,103,0,0,0,G-103
2000,2,G,103,0,0,0,G-103
2001,1,G,103,1,1,0,G-103
2001,2,G,103,1,1,0,G-103
2002,1,G,103,1,0,0,G-103
2002,2,G,103,1,0,0,G-103
2003,1,G,103,1,0,0,G-103
2003,2,G,103,1,0,0,G-103
2004,1,G,103,1,0,0,G-103
2004,2,G,103,0,0,0,G-103
2005,1,G,103,0,0,0,G-103
2005,2,G,103,1,1,0,G-103
2006,1,G,103,0,1,0,G-103
2006,2,G,103,0,1,0,G-103
2007,1,G,103,1,1,0,G-103
2007,2,G,103,1,0,0,G-103
2008,1,G,103,0,0,0,G-103
2008,2,G,103,0,0,0,G-103
1982,1,G,104,NA,NA,NA,G-104
1982,2,G,104,0,0,0,G-104
1983,1,G,104,0,0,0,G-104
1983,2,G,104,0,0,0,G-104
1984,1,G,104,0,0,0,G-104
1984,2,G,104,0,0,0,G-104
1985,1,G,104,0,0,0,G-104
1985,2,G,104,0,0,0,G-104
1986,1,G,104,0,0,0,G-104
1986,2,G,104,0,0,0,G-104
1987,1,G,104,0,0,0,G-104
1987,2,G,104,0,0,0,G-104
1988,1,G,104,0,0,0,G-104
1988,2,G,104,0,0,0,G-104
1989,1,G,104,0,0,0,G-104
1989,2,G,104,0,0,0,G-104
1990,1,G,104,0,0,0,G-104
1990,2,G,104,0,0,0,G-104
1991,1,G,104,0,0,0,G-104
1991,2,G,104,0,0,0,G-104
1992,1,G,104,0,0,0,G-104
1992,2,G,104,0,0,0,G-104
1993,1,G,104,NA,NA,NA,G-104
1993,2,G,104,0,0,0,G-104
1994,1,G,104,0,0,0,G-104
1994,2,G,104,0,0,0,G-104
1995,1,G,104,0,0,0,G-104
1995,2,G,104,0,0,0,G-104
1996,1,G,104,0,0,0,G-104
1996,2,G,104,0,0,0,G-104
1997,1,G,104,0,0,0,G-104
1997,2,G,104,0,0,0,G-104
1998,1,G,104,0,0,0,G-104
1998,2,G,104,0,0,0,G-104
1999,1,G,104,0,0,0,G-104
1999,2,G,104,0,0,0,G-104
2000,1,G,104,0,0,0,G-104
2000,2,G,104,0,0,0,G-104
2001,1,G,104,0,0,0,G-104
2001,2,G,104,0,0,0,G-104
2002,1,G,104,0,0,0,G-104
2002,2,G,104,0,0,0,G-104
2003,1,G,104,0,0,0,G-104
2003,2,G,104,0,0,0,G-104
2004,1,G,104,0,0,0,G-104
2004,2,G,104,0,0,0,G-104
2005,1,G,104,0,0,0,G-104
2005,2,G,104,0,0,0,G-104
2006,1,G,104,0,0,0,G-104
2006,2,G,104,0,0,0,G-104
2007,1,G,104,0,0,0,G-104
2007,2,G,104,0,0,0,G-104
2008,1,G,104,0,0,0,G-104
2008,2,G,104,0,0,0,G-104
1982,1,G,105,NA,NA,NA,G-105
1982,2,G,105,0,0,0,G-105
1983,1,G,105,0,0,0,G-105
1983,2,G,105,0,0,0,G-105
1984,1,G,105,0,0,0,G-105
1984,2,G,105,0,0,0,G-105
1985,1,G,105,0,0,0,G-105
1985,2,G,105,0,0,0,G-105
1986,1,G,105,0,0,0,G-105
1986,2,G,105,0,0,0,G-105
1987,1,G,105,0,0,0,G-105
1987,2,G,105,0,0,0,G-105
1988,1,G,105,0,0,0,G-105
1988,2,G,105,0,0,0,G-105
1989,1,G,105,0,0,0,G-105
1989,2,G,105,0,0,0,G-105
1990,1,G,105,0,0,0,G-105
1990,2,G,105,0,0,0,G-105
1991,1,G,105,0,0,0,G-105
1991,2,G,105,0,0,0,G-105
1992,1,G,105,0,0,0,G-105
1992,2,G,105,0,0,0,G-105
1993,1,G,105,NA,NA,NA,G-105
1993,2,G,105,0,0,0,G-105
1994,1,G,105,0,0,0,G-105
1994,2,G,105,0,0,0,G-105
1995,1,G,105,0,0,0,G-105
1995,2,G,105,0,0,0,G-105
1996,1,G,105,0,0,0,G-105
1996,2,G,105,0,0,0,G-105
1997,1,G,105,0,0,0,G-105
1997,2,G,105,0,0,0,G-105
1998,1,G,105,0,0,0,G-105
1998,2,G,105,0,0,0,G-105
1999,1,G,105,0,0,0,G-105
1999,2,G,105,0,0,0,G-105
2000,1,G,105,0,0,0,G-105
2000,2,G,105,0,0,0,G-105
2001,1,G,105,0,0,0,G-105
2001,2,G,105,0,0,0,G-105
2002,1,G,105,0,0,0,G-105
2002,2,G,105,0,1,0,G-105
2003,1,G,105,0,1,0,G-105
2003,2,G,105,0,1,0,G-105
2004,1,G,105,0,1,0,G-105
2004,2,G,105,0,1,0,G-105
2005,1,G,105,0,1,0,G-105
2005,2,G,105,0,1,0,G-105
2006,1,G,105,0,1,0,G-105
2006,2,G,105,0,1,0,G-105
2007,1,G,105,0,1,0,G-105
2007,2,G,105,0,0,0,G-105
2008,1,G,105,0,1,0,G-105
2008,2,G,105,0,0,0,G-105
1982,1,G,106,NA,NA,NA,G-106
1982,2,G,106,0,0,0,G-106
1983,1,G,106,0,0,0,G-106
1983,2,G,106,0,0,0,G-106
1984,1,G,106,1,0,0,G-106
1984,2,G,106,0,1,0,G-106
1985,1,G,106,0,0,0,G-106
1985,2,G,106,0,1,0,G-106
1986,1,G,106,0,0,0,G-106
1986,2,G,106,0,1,0,G-106
1987,1,G,106,0,0,0,G-106
1987,2,G,106,0,0,0,G-106
1988,1,G,106,0,0,0,G-106
1988,2,G,106,0,0,0,G-106
1989,1,G,106,0,0,0,G-106
1989,2,G,106,0,0,0,G-106
1990,1,G,106,0,0,0,G-106
1990,2,G,106,0,0,0,G-106
1991,1,G,106,0,0,0,G-106
1991,2,G,106,0,0,0,G-106
1992,1,G,106,0,0,0,G-106
1992,2,G,106,1,0,0,G-106
1993,1,G,106,NA,NA,NA,G-106
1993,2,G,106,0,1,0,G-106
1994,1,G,106,0,1,0,G-106
1994,2,G,106,0,1,0,G-106
1995,1,G,106,0,1,0,G-106
1995,2,G,106,1,1,0,G-106
1996,1,G,106,0,1,0,G-106
1996,2,G,106,0,0,0,G-106
1997,1,G,106,0,0,0,G-106
1997,2,G,106,0,0,0,G-106
1998,1,G,106,0,0,0,G-106
1998,2,G,106,0,0,0,G-106
1999,1,G,106,0,0,0,G-106
1999,2,G,106,0,0,0,G-106
2000,1,G,106,0,0,0,G-106
2000,2,G,106,0,0,0,G-106
2001,1,G,106,0,0,0,G-106
2001,2,G,106,0,1,0,G-106
2002,1,G,106,0,0,0,G-106
2002,2,G,106,0,1,0,G-106
2003,1,G,106,0,1,0,G-106
2003,2,G,106,0,1,0,G-106
2004,1,G,106,0,1,0,G-106
2004,2,G,106,0,0,0,G-106
2005,1,G,106,0,1,0,G-106
2005,2,G,106,0,0,0,G-106
2006,1,G,106,0,1,0,G-106
2006,2,G,106,0,1,0,G-106
2007,1,G,106,0,1,0,G-106
2007,2,G,106,0,0,0,G-106
2008,1,G,106,0,1,0,G-106
2008,2,G,106,0,0,0,G-106
1982,1,G,107,NA,NA,NA,G-107
1982,2,G,107,0,0,0,G-107
1983,1,G,107,0,0,0,G-107
1983,2,G,107,0,0,0,G-107
1984,1,G,107,0,0,0,G-107
1984,2,G,107,0,0,0,G-107
1985,1,G,107,0,0,0,G-107
1985,2,G,107,0,1,0,G-107
1986,1,G,107,0,0,0,G-107
1986,2,G,107,0,0,0,G-107
1987,1,G,107,0,0,0,G-107
1987,2,G,107,0,0,0,G-107
1988,1,G,107,0,0,0,G-107
1988,2,G,107,0,0,0,G-107
1989,1,G,107,0,0,0,G-107
1989,2,G,107,0,1,0,G-107
1990,1,G,107,0,0,0,G-107
1990,2,G,107,0,0,0,G-107
1991,1,G,107,0,0,0,G-107
1991,2,G,107,0,0,0,G-107
1992,1,G,107,0,0,0,G-107
1992,2,G,107,0,0,0,G-107
1993,1,G,107,NA,NA,NA,G-107
1993,2,G,107,0,0,0,G-107
1994,1,G,107,0,1,0,G-107
1994,2,G,107,0,0,0,G-107
1995,1,G,107,0,1,0,G-107
1995,2,G,107,0,1,0,G-107
1996,1,G,107,0,1,0,G-107
1996,2,G,107,0,0,0,G-107
1997,1,G,107,0,0,0,G-107
1997,2,G,107,0,0,0,G-107
1998,1,G,107,0,0,0,G-107
1998,2,G,107,0,0,0,G-107
1999,1,G,107,0,0,0,G-107
1999,2,G,107,0,0,0,G-107
2000,1,G,107,0,0,0,G-107
2000,2,G,107,0,0,0,G-107
2001,1,G,107,0,0,0,G-107
2001,2,G,107,0,0,0,G-107
2002,1,G,107,0,0,0,G-107
2002,2,G,107,0,1,0,G-107
2003,1,G,107,0,1,0,G-107
2003,2,G,107,0,1,0,G-107
2004,1,G,107,0,1,0,G-107
2004,2,G,107,0,0,0,G-107
2005,1,G,107,0,0,0,G-107
2005,2,G,107,0,0,0,G-107
2006,1,G,107,0,1,0,G-107
2006,2,G,107,0,0,0,G-107
2007,1,G,107,0,1,0,G-107
2007,2,G,107,0,0,0,G-107
2008,1,G,107,0,0,0,G-107
2008,2,G,107,0,0,0,G-107
1982,1,G,108,NA,NA,NA,G-108
1982,2,G,108,0,0,0,G-108
1983,1,G,108,0,0,0,G-108
1983,2,G,108,0,0,0,G-108
1984,1,G,108,0,0,0,G-108
1984,2,G,108,0,0,0,G-108
1985,1,G,108,0,0,0,G-108
1985,2,G,108,0,0,0,G-108
1986,1,G,108,0,0,0,G-108
1986,2,G,108,0,0,0,G-108
1987,1,G,108,0,0,0,G-108
1987,2,G,108,0,0,0,G-108
1988,1,G,108,0,0,0,G-108
1988,2,G,108,0,0,0,G-108
1989,1,G,108,0,1,0,G-108
1989,2,G,108,0,0,0,G-108
1990,1,G,108,0,0,0,G-108
1990,2,G,108,0,0,0,G-108
1991,1,G,108,0,0,0,G-108
1991,2,G,108,0,0,0,G-108
1992,1,G,108,0,0,0,G-108
1992,2,G,108,0,0,0,G-108
1993,1,G,108,NA,NA,NA,G-108
1993,2,G,108,0,0,0,G-108
1994,1,G,108,0,0,0,G-108
1994,2,G,108,0,0,0,G-108
1995,1,G,108,0,0,0,G-108
1995,2,G,108,0,0,0,G-108
1996,1,G,108,0,0,0,G-108
1996,2,G,108,0,0,0,G-108
1997,1,G,108,0,0,0,G-108
1997,2,G,108,0,0,0,G-108
1998,1,G,108,0,0,0,G-108
1998,2,G,108,0,0,0,G-108
1999,1,G,108,0,0,0,G-108
1999,2,G,108,0,0,0,G-108
2000,1,G,108,0,0,0,G-108
2000,2,G,108,0,0,0,G-108
2001,1,G,108,0,0,0,G-108
2001,2,G,108,0,0,0,G-108
2002,1,G,108,0,0,0,G-108
2002,2,G,108,0,0,0,G-108
2003,1,G,108,0,0,0,G-108
2003,2,G,108,0,0,0,G-108
2004,1,G,108,0,0,0,G-108
2004,2,G,108,0,0,0,G-108
2005,1,G,108,0,0,0,G-108
2005,2,G,108,0,0,0,G-108
2006,1,G,108,0,0,0,G-108
2006,2,G,108,0,1,0,G-108
2007,1,G,108,0,0,0,G-108
2007,2,G,108,0,0,0,G-108
2008,1,G,108,0,0,0,G-108
2008,2,G,108,0,0,0,G-108
1982,1,G,109,NA,NA,NA,G-109
1982,2,G,109,0,0,0,G-109
1983,1,G,109,0,0,0,G-109
1983,2,G,109,0,0,0,G-109
1984,1,G,109,0,1,0,G-109
1984,2,G,109,0,1,0,G-109
1985,1,G,109,0,1,0,G-109
1985,2,G,109,0,1,0,G-109
1986,1,G,109,0,0,0,G-109
1986,2,G,109,0,1,0,G-109
1987,1,G,109,0,0,0,G-109
1987,2,G,109,0,0,0,G-109
1988,1,G,109,0,0,0,G-109
1988,2,G,109,0,0,0,G-109
1989,1,G,109,0,0,0,G-109
1989,2,G,109,0,0,0,G-109
1990,1,G,109,0,0,0,G-109
1990,2,G,109,0,0,0,G-109
1991,1,G,109,0,0,0,G-109
1991,2,G,109,0,0,0,G-109
1992,1,G,109,0,0,0,G-109
1992,2,G,109,0,0,0,G-109
1993,1,G,109,NA,NA,NA,G-109
1993,2,G,109,0,0,0,G-109
1994,1,G,109,0,0,0,G-109
1994,2,G,109,0,0,0,G-109
1995,1,G,109,0,0,0,G-109
1995,2,G,109,0,0,0,G-109
1996,1,G,109,0,1,0,G-109
1996,2,G,109,0,0,0,G-109
1997,1,G,109,0,1,0,G-109
1997,2,G,109,0,0,0,G-109
1998,1,G,109,0,1,0,G-109
1998,2,G,109,0,1,0,G-109
1999,1,G,109,0,0,0,G-109
1999,2,G,109,0,0,0,G-109
2000,1,G,109,0,1,0,G-109
2000,2,G,109,0,1,0,G-109
2001,1,G,109,0,1,0,G-109
2001,2,G,109,0,1,0,G-109
2002,1,G,109,0,1,0,G-109
2002,2,G,109,0,1,0,G-109
2003,1,G,109,0,1,0,G-109
2003,2,G,109,0,1,0,G-109
2004,1,G,109,0,1,0,G-109
2004,2,G,109,0,1,0,G-109
2005,1,G,109,0,1,0,G-109
2005,2,G,109,0,1,0,G-109
2006,1,G,109,0,1,0,G-109
2006,2,G,109,0,1,0,G-109
2007,1,G,109,0,1,0,G-109
2007,2,G,109,0,1,0,G-109
2008,1,G,109,0,0,0,G-109
2008,2,G,109,0,1,0,G-109
1982,1,G,110,NA,NA,NA,G-110
1982,2,G,110,0,0,0,G-110
1983,1,G,110,0,0,0,G-110
1983,2,G,110,0,0,0,G-110
1984,1,G,110,0,0,0,G-110
1984,2,G,110,1,0,0,G-110
1985,1,G,110,0,0,0,G-110
1985,2,G,110,0,0,0,G-110
1986,1,G,110,0,0,0,G-110
1986,2,G,110,0,0,0,G-110
1987,1,G,110,0,0,0,G-110
1987,2,G,110,0,0,0,G-110
1988,1,G,110,0,0,0,G-110
1988,2,G,110,0,0,0,G-110
1989,1,G,110,0,0,0,G-110
1989,2,G,110,0,0,0,G-110
1990,1,G,110,0,0,0,G-110
1990,2,G,110,0,0,0,G-110
1991,1,G,110,0,0,0,G-110
1991,2,G,110,0,0,0,G-110
1992,1,G,110,0,0,0,G-110
1992,2,G,110,0,0,0,G-110
1993,1,G,110,NA,NA,NA,G-110
1993,2,G,110,0,1,0,G-110
1994,1,G,110,0,1,0,G-110
1994,2,G,110,0,1,0,G-110
1995,1,G,110,0,1,0,G-110
1995,2,G,110,0,0,0,G-110
1996,1,G,110,0,1,0,G-110
1996,2,G,110,0,1,0,G-110
1997,1,G,110,0,0,0,G-110
1997,2,G,110,0,0,0,G-110
1998,1,G,110,0,1,0,G-110
1998,2,G,110,0,1,0,G-110
1999,1,G,110,0,1,0,G-110
1999,2,G,110,0,0,0,G-110
2000,1,G,110,0,1,0,G-110
2000,2,G,110,0,1,0,G-110
2001,1,G,110,0,1,0,G-110
2001,2,G,110,0,1,0,G-110
2002,1,G,110,0,1,0,G-110
2002,2,G,110,0,1,0,G-110
2003,1,G,110,0,1,0,G-110
2003,2,G,110,0,1,0,G-110
2004,1,G,110,0,1,0,G-110
2004,2,G,110,0,1,0,G-110
2005,1,G,110,0,0,0,G-110
2005,2,G,110,0,1,0,G-110
2006,1,G,110,0,1,0,G-110
2006,2,G,110,0,1,1,G-110
2007,1,G,110,0,1,1,G-110
2007,2,G,110,0,1,0,G-110
2008,1,G,110,0,1,1,G-110
2008,2,G,110,0,1,1,G-110
1982,1,G,111,NA,NA,NA,G-111
1982,2,G,111,0,0,0,G-111
1983,1,G,111,0,0,0,G-111
1983,2,G,111,0,1,0,G-111
1984,1,G,111,0,0,0,G-111
1984,2,G,111,0,0,0,G-111
1985,1,G,111,0,1,0,G-111
1985,2,G,111,0,0,0,G-111
1986,1,G,111,0,0,0,G-111
1986,2,G,111,0,0,0,G-111
1987,1,G,111,0,0,0,G-111
1987,2,G,111,0,0,0,G-111
1988,1,G,111,0,0,0,G-111
1988,2,G,111,0,0,0,G-111
1989,1,G,111,0,0,0,G-111
1989,2,G,111,0,0,0,G-111
1990,1,G,111,0,0,0,G-111
1990,2,G,111,0,0,0,G-111
1991,1,G,111,0,0,0,G-111
1991,2,G,111,0,0,0,G-111
1992,1,G,111,0,0,0,G-111
1992,2,G,111,0,0,0,G-111
1993,1,G,111,NA,NA,NA,G-111
1993,2,G,111,0,0,0,G-111
1994,1,G,111,0,0,0,G-111
1994,2,G,111,0,0,0,G-111
1995,1,G,111,0,0,0,G-111
1995,2,G,111,0,0,0,G-111
1996,1,G,111,0,0,0,G-111
1996,2,G,111,0,0,0,G-111
1997,1,G,111,0,0,0,G-111
1997,2,G,111,0,0,0,G-111
1998,1,G,111,0,0,0,G-111
1998,2,G,111,0,0,0,G-111
1999,1,G,111,0,0,0,G-111
1999,2,G,111,0,1,0,G-111
2000,1,G,111,0,0,0,G-111
2000,2,G,111,0,0,0,G-111
2001,1,G,111,0,0,0,G-111
2001,2,G,111,0,0,0,G-111
2002,1,G,111,0,0,0,G-111
2002,2,G,111,0,0,0,G-111
2003,1,G,111,0,0,0,G-111
2003,2,G,111,0,0,0,G-111
2004,1,G,111,0,0,0,G-111
2004,2,G,111,0,0,0,G-111
2005,1,G,111,0,0,0,G-111
2005,2,G,111,1,0,0,G-111
2006,1,G,111,0,0,0,G-111
2006,2,G,111,0,0,0,G-111
2007,1,G,111,0,0,0,G-111
2007,2,G,111,0,0,0,G-111
2008,1,G,111,0,0,0,G-111
2008,2,G,111,0,0,0,G-111
1982,1,G,112,NA,NA,NA,G-112
1982,2,G,112,0,0,0,G-112
1983,1,G,112,0,0,0,G-112
1983,2,G,112,0,0,0,G-112
1984,1,G,112,0,0,0,G-112
1984,2,G,112,0,0,0,G-112
1985,1,G,112,0,0,0,G-112
1985,2,G,112,0,0,0,G-112
1986,1,G,112,0,0,0,G-112
1986,2,G,112,0,0,0,G-112
1987,1,G,112,0,0,0,G-112
1987,2,G,112,0,0,0,G-112
1988,1,G,112,0,0,0,G-112
1988,2,G,112,0,0,0,G-112
1989,1,G,112,0,0,0,G-112
1989,2,G,112,0,0,0,G-112
1990,1,G,112,0,0,0,G-112
1990,2,G,112,0,0,0,G-112
1991,1,G,112,0,0,0,G-112
1991,2,G,112,0,0,0,G-112
1992,1,G,112,0,0,0,G-112
1992,2,G,112,0,0,0,G-112
1993,1,G,112,NA,NA,NA,G-112
1993,2,G,112,0,0,0,G-112
1994,1,G,112,0,0,0,G-112
1994,2,G,112,0,0,0,G-112
1995,1,G,112,0,0,0,G-112
1995,2,G,112,0,0,0,G-112
1996,1,G,112,0,0,0,G-112
1996,2,G,112,0,0,0,G-112
1997,1,G,112,0,0,0,G-112
1997,2,G,112,0,0,0,G-112
1998,1,G,112,0,0,0,G-112
1998,2,G,112,0,0,0,G-112
1999,1,G,112,0,0,0,G-112
1999,2,G,112,0,0,0,G-112
2000,1,G,112,0,0,0,G-112
2000,2,G,112,0,0,0,G-112
2001,1,G,112,0,0,0,G-112
2001,2,G,112,0,0,0,G-112
2002,1,G,112,0,0,0,G-112
2002,2,G,112,0,0,0,G-112
2003,1,G,112,0,0,0,G-112
2003,2,G,112,0,0,0,G-112
2004,1,G,112,0,0,0,G-112
2004,2,G,112,0,0,0,G-112
2005,1,G,112,0,0,0,G-112
2005,2,G,112,0,0,0,G-112
2006,1,G,112,0,0,0,G-112
2006,2,G,112,0,0,0,G-112
2007,1,G,112,0,0,0,G-112
2007,2,G,112,0,0,0,G-112
2008,1,G,112,0,0,0,G-112
2008,2,G,112,0,0,0,G-112
1982,1,G,113,NA,NA,NA,G-113
1982,2,G,113,0,0,0,G-113
1983,1,G,113,0,0,0,G-113
1983,2,G,113,0,0,0,G-113
1984,1,G,113,0,0,0,G-113
1984,2,G,113,0,0,0,G-113
1985,1,G,113,0,0,0,G-113
1985,2,G,113,0,0,0,G-113
1986,1,G,113,0,0,0,G-113
1986,2,G,113,0,0,0,G-113
1987,1,G,113,0,0,0,G-113
1987,2,G,113,0,1,0,G-113
1988,1,G,113,0,0,0,G-113
1988,2,G,113,0,0,0,G-113
1989,1,G,113,0,0,0,G-113
1989,2,G,113,0,0,0,G-113
1990,1,G,113,0,0,0,G-113
1990,2,G,113,0,0,0,G-113
1991,1,G,113,0,0,0,G-113
1991,2,G,113,0,0,0,G-113
1992,1,G,113,0,0,0,G-113
1992,2,G,113,0,0,0,G-113
1993,1,G,113,NA,NA,NA,G-113
1993,2,G,113,0,0,0,G-113
1994,1,G,113,0,0,0,G-113
1994,2,G,113,0,0,0,G-113
1995,1,G,113,0,0,0,G-113
1995,2,G,113,0,0,0,G-113
1996,1,G,113,0,0,0,G-113
1996,2,G,113,0,0,0,G-113
1997,1,G,113,0,0,0,G-113
1997,2,G,113,0,0,0,G-113
1998,1,G,113,0,0,0,G-113
1998,2,G,113,0,0,0,G-113
1999,1,G,113,0,0,0,G-113
1999,2,G,113,0,0,0,G-113
2000,1,G,113,0,0,0,G-113
2000,2,G,113,0,0,0,G-113
2001,1,G,113,0,0,0,G-113
2001,2,G,113,0,0,0,G-113
2002,1,G,113,0,0,0,G-113
2002,2,G,113,0,0,0,G-113
2003,1,G,113,0,0,0,G-113
2003,2,G,113,0,0,0,G-113
2004,1,G,113,0,0,0,G-113
2004,2,G,113,0,0,0,G-113
2005,1,G,113,0,0,0,G-113
2005,2,G,113,0,0,0,G-113
2006,1,G,113,0,0,0,G-113
2006,2,G,113,0,0,0,G-113
2007,1,G,113,0,0,0,G-113
2007,2,G,113,0,0,0,G-113
2008,1,G,113,0,0,0,G-113
2008,2,G,113,0,0,0,G-113
1982,1,G,114,NA,NA,NA,G-114
1982,2,G,114,0,0,0,G-114
1983,1,G,114,0,0,0,G-114
1983,2,G,114,0,0,0,G-114
1984,1,G,114,0,0,0,G-114
1984,2,G,114,0,0,0,G-114
1985,1,G,114,0,0,0,G-114
1985,2,G,114,0,0,0,G-114
1986,1,G,114,0,0,0,G-114
1986,2,G,114,0,0,0,G-114
1987,1,G,114,0,0,0,G-114
1987,2,G,114,0,0,0,G-114
1988,1,G,114,0,0,0,G-114
1988,2,G,114,0,0,0,G-114
1989,1,G,114,0,0,0,G-114
1989,2,G,114,0,0,0,G-114
1990,1,G,114,0,0,0,G-114
1990,2,G,114,0,0,0,G-114
1991,1,G,114,0,0,0,G-114
1991,2,G,114,0,0,0,G-114
1992,1,G,114,0,0,0,G-114
1992,2,G,114,0,0,0,G-114
1993,1,G,114,NA,NA,NA,G-114
1993,2,G,114,0,0,0,G-114
