year,sample,island,pool,magna,longispina,pulex,poolname
2000,2,F,3,0,1,0,F-3
2001,1,F,3,1,1,0,F-3
2001,2,F,3,1,1,0,F-3
2002,1,F,3,1,1,0,F-3
2002,2,F,3,1,1,0,F-3
2003,1,F,3,1,1,0,F-3
2003,2,F,3,1,1,0,F-3
2004,1,F,3,1,1,0,F-3
2004,2,F,3,0,1,0,F-3
2005,1,F,3,1,1,0,F-3
2005,2,F,3,0,1,0,F-3
2006,1,F,3,1,1,0,F-3
2006,2,F,3,1,1,0,F-3
2007,1,F,3,0,1,1,F-3
2007,2,F,3,1,1,0,F-3
2008,1,F,3,1,1,1,F-3
2008,2,F,3,1,1,0,F-3
1982,1,F,4,NA,NA,NA,F-4
1982,2,F,4,0,0,0,F-4
1983,1,F,4,0,0,0,F-4
1983,2,F,4,0,0,0,F-4
1984,1,F,4,0,0,0,F-4
1984,2,F,4,0,0,0,F-4
1985,1,F,4,0,0,0,F-4
1985,2,F,4,0,0,0,F-4
1986,1,F,4,0,0,0,F-4
1986,2,F,4,0,0,0,F-4
1987,1,F,4,0,0,0,F-4
1987,2,F,4,0,0,0,F-4
1988,1,F,4,0,0,0,F-4
1988,2,F,4,0,0,0,F-4
1989,1,F,4,0,0,0,F-4
1989,2,F,4,0,0,0,F-4
1990,1,F,4,0,0,0,F-4
1990,2,F,4,0,0,0,F-4
1991,1,F,4,0,0,0,F-4
1991,2,F,4,0,0,0,F-4
1992,1,F,4,0,0,0,F-4
1992,2,F,4,0,0,0,F-4
1993,1,F,4,NA,NA,NA,F-4
1993,2,F,4,0,0,0,F-4
1994,1,F,4,0,1,0,F-4
1994,2,F,4,0,0,0,F-4
1995,1,F,4,0,1,0,F-4
1995,2,F,4,0,0,0,F-4
1996,1,F,4,0,1,0,F-4
1996,2,F,4,0,1,0,F-4
1997,1,F,4,0,0,0,F-4
1997,2,F,4,0,0,0,F-4
1998,1,F,4,0,0,0,F-4
1998,2,F,4,0,1,0,F-4
1999,1,F,4,0,1,0,F-4
1999,2,F,4,0,0,0,F-4
2000,1,F,4,0,1,0,F-4
2000,2,F,4,0,1,1,F-4
2001,1,F,4,0,1,0,F-4
2001,2,F,4,0,1,0,F-4
2002,1,F,4,0,0,0,F-4
2002,2,F,4,0,1,0,F-4
2003,1,F,4,0,1,0,F-4
2003,2,F,4,0,1,0,F-4
2004,1,F,4,0,1,0,F-4
2004,2,F,4,0,1,0,F-4
2005,1,F,4,0,1,0,F-4
2005,2,F,4,0,1,0,F-4
2006,1,F,4,0,0,0,F-4
2006,2,F,4,0,0,0,F-4
2007,1,F,4,0,0,0,F-4
2007,2,F,4,0,0,0,F-4
2008,1,F,4,0,0,1,F-4
2008,2,F,4,0,0,0,F-4
1982,1,F,5,NA,NA,NA,F-5
1982,2,F,5,0,1,0,F-5
1983,1,F,5,0,1,0,F-5
1983,2,F,5,0,1,0,F-5
1984,1,F,5,0,1,0,F-5
1984,2,F,5,0,1,0,F-5
1985,1,F,5,0,1,0,F-5
1985,2,F,5,0,1,0,F-5
1986,1,F,5,0,1,0,F-5
1986,2,F,5,0,1,0,F-5
1987,1,F,5,0,1,0,F-5
1987,2,F,5,0,1,0,F-5
1988,1,F,5,0,1,0,F-5
1988,2,F,5,0,1,0,F-5
1989,1,F,5,0,1,0,F-5
1989,2,F,5,0,0,0,F-5
1990,1,F,5,0,1,0,F-5
1990,2,F,5,0,0,0,F-5
1991,1,F,5,0,1,0,F-5
1991,2,F,5,0,1,0,F-5
1992,1,F,5,0,1,0,F-5
1992,2,F,5,0,1,0,F-5
1993,1,F,5,NA,NA,NA,F-5
1993,2,F,5,0,1,0,F-5
1994,1,F,5,0,1,0,F-5
1994,2,F,5,0,0,0,F-5
1995,1,F,5,0,1,0,F-5
1995,2,F,5,0,0,0,F-5
1996,1,F,5,0,1,0,F-5
1996,2,F,5,0,1,0,F-5
1997,1,F,5,0,1,0,F-5
1997,2,F,5,0,0,0,F-5
1998,1,F,5,0,1,0,F-5
1998,2,F,5,0,1,0,F-5
1999,1,F,5,0,0,0,F-5
1999,2,F,5,0,0,0,F-5
2000,1,F,5,0,0,0,F-5
2000,2,F,5,0,0,0,F-5
2001,1,F,5,0,0,0,F-5
2001,2,F,5,0,0,0,F-5
2002,1,F,5,0,0,0,F-5
2002,2,F,5,0,0,0,F-5
2003,1,F,5,0,1,0,F-5
2003,2,F,5,0,0,0,F-5
2004,1,F,5,0,0,0,F-5
2004,2,F,5,0,1,0,F-5
2005,1,F,5,0,0,0,F-5
2005,2,F,5,0,0,0,F-5
2006,1,F,5,0,0,0,F-5
2006,2,F,5,0,1,0,F-5
2007,1,F,5,0,0,0,F-5
2007,2,F,5,0,1,0,F-5
2008,1,F,5,0,0,0,F-5
2008,2,F,5,0,0,0,F-5
1982,1,F,6,NA,NA,NA,F-6
1982,2,F,6,0,1,0,F-6
1983,1,F,6,0,1,0,F-6
1983,2,F,6,0,1,0,F-6
1984,1,F,6,0,1,0,F-6
1984,2,F,6,0,1,0,F-6
1985,1,F,6,0,1,0,F-6
1985,2,F,6,0,1,0,F-6
1986,1,F,6,0,1,0,F-6
1986,2,F,6,0,1,0,F-6
1987,1,F,6,0,1,0,F-6
1987,2,F,6,0,1,0,F-6
1988,1,F,6,0,1,0,F-6
1988,2,F,6,0,1,0,F-6
1989,1,F,6,0,1,0,F-6
1989,2,F,6,0,1,0,F-6
1990,1,F,6,0,1,0,F-6
1990,2,F,6,0,0,0,F-6
1991,1,F,6,0,1,0,F-6
1991,2,F,6,0,1,0,F-6
1992,1,F,6,0,0,0,F-6
1992,2,F,6,0,1,0,F-6
1993,1,F,6,NA,NA,NA,F-6
1993,2,F,6,0,1,0,F-6
1994,1,F,6,0,1,0,F-6
1994,2,F,6,0,1,0,F-6
1995,1,F,6,0,1,0,F-6
1995,2,F,6,0,0,0,F-6
1996,1,F,6,0,1,0,F-6
1996,2,F,6,0,1,0,F-6
1997,1,F,6,0,1,0,F-6
1997,2,F,6,0,0,0,F-6
1998,1,F,6,0,1,0,F-6
1998,2,F,6,0,1,0,F-6
1999,1,F,6,0,1,0,F-6
1999,2,F,6,0,0,0,F-6
2000,1,F,6,0,1,0,F-6
2000,2,F,6,0,0,0,F-6
2001,1,F,6,0,1,0,F-6
2001,2,F,6,0,1,0,F-6
2002,1,F,6,0,1,0,F-6
2002,2,F,6,0,0,0,F-6
2003,1,F,6,0,1,0,F-6
2003,2,F,6,0,0,0,F-6
2004,1,F,6,0,1,0,F-6
2004,2,F,6,0,1,0,F-6
2005,1,F,6,0,1,1,F-6
2005,2,F,6,0,0,0,F-6
2006,1,F,6,0,1,0,F-6
2006,2,F,6,0,1,0,F-6
2007,1,F,6,0,1,0,F-6
2007,2,F,6,0,0,1,F-6
2008,1,F,6,0,1,1,F-6
2008,2,F,6,0,0,0,F-6
1982,1,F,7,NA,NA,NA,F-7
1982,2,F,7,0,1,0,F-7
1983,1,F,7,0,0,0,F-7
1983,2,F,7,0,1,0,F-7
1984,1,F,7,0,0,0,F-7
1984,2,F,7,0,1,0,F-7
1985,1,F,7,0,1,0,F-7
1985,2,F,7,0,1,0,F-7
1986,1,F,7,0,0,0,F-7
1986,2,F,7,0,1,0,F-7
1987,1,F,7,0,0,0,F-7
1987,2,F,7,0,0,0,F-7
1988,1,F,7,0,0,0,F-7
1988,2,F,7,0,1,0,F-7
1989,1,F,7,0,0,0,F-7
1989,2,F,7,0,0,0,F-7
1990,1,F,7,0,0,0,F-7
1990,2,F,7,0,0,0,F-7
1991,1,F,7,0,1,0,F-7
1991,2,F,7,0,1,0,F-7
1992,1,F,7,0,0,0,F-7
1992,2,F,7,0,0,0,F-7
1993,1,F,7,NA,NA,NA,F-7
1993,2,F,7,0,1,0,F-7
1994,1,F,7,0,1,0,F-7
1994,2,F,7,0,1,0,F-7
1995,1,F,7,0,0,0,F-7
1995,2,F,7,0,0,0,F-7
1996,1,F,7,0,0,0,F-7
1996,2,F,7,0,0,0,F-7
1997,1,F,7,0,0,0,F-7
1997,2,F,7,0,0,0,F-7
1998,1,F,7,0,0,0,F-7
1998,2,F,7,0,0,0,F-7
1999,1,F,7,0,1,0,F-7
1999,2,F,7,0,0,0,F-7
2000,1,F,7,0,1,0,F-7
2000,2,F,7,0,0,0,F-7
2001,1,F,7,0,1,0,F-7
2001,2,F,7,0,1,0,F-7
2002,1,F,7,0,1,0,F-7
2002,2,F,7,0,1,0,F-7
2003,1,F,7,0,1,0,F-7
2003,2,F,7,0,1,0,F-7
2004,1,F,7,0,1,0,F-7
2004,2,F,7,0,0,0,F-7
2005,1,F,7,0,1,0,F-7
2005,2,F,7,0,1,0,F-7
2006,1,F,7,0,1,0,F-7
2006,2,F,7,0,0,0,F-7
2007,1,F,7,0,0,1,F-7
2007,2,F,7,0,1,1,F-7
2008,1,F,7,0,0,1,F-7
2008,2,F,7,0,0,1,F-7
1982,1,F,8,NA,NA,NA,F-8
1982,2,F,8,0,1,0,F-8
1983,1,F,8,0,1,0,F-8
1983,2,F,8,0,1,0,F-8
1984,1,F,8,0,1,0,F-8
1984,2,F,8,0,1,0,F-8
1985,1,F,8,0,1,0,F-8
1985,2,F,8,0,1,0,F-8
1986,1,F,8,0,1,0,F-8
1986,2,F,8,0,1,0,F-8
1987,1,F,8,0,1,0,F-8
1987,2,F,8,0,1,0,F-8
1988,1,F,8,0,1,0,F-8
1988,2,F,8,0,0,0,F-8
1989,1,F,8,0,1,0,F-8
1989,2,F,8,0,1,0,F-8
1990,1,F,8,0,0,0,F-8
1990,2,F,8,0,1,0,F-8
1991,1,F,8,0,0,0,F-8
1991,2,F,8,0,1,0,F-8
1992,1,F,8,0,1,0,F-8
1992,2,F,8,0,1,0,F-8
1993,1,F,8,NA,NA,NA,F-8
1993,2,F,8,0,1,0,F-8
1994,1,F,8,0,1,0,F-8
1994,2,F,8,0,0,0,F-8
1995,1,F,8,0,1,0,F-8
1995,2,F,8,0,0,0,F-8
1996,1,F,8,0,1,0,F-8
1996,2,F,8,0,1,0,F-8
1997,1,F,8,0,1,0,F-8
1997,2,F,8,0,0,0,F-8
1998,1,F,8,0,0,0,F-8
1998,2,F,8,0,1,0,F-8
1999,1,F,8,0,1,0,F-8
1999,2,F,8,0,0,0,F-8
2000,1,F,8,0,1,0,F-8
2000,2,F,8,0,1,0,F-8
2001,1,F,8,0,1,0,F-8
2001,2,F,8,0,1,0,F-8
2002,1,F,8,0,1,0,F-8
2002,2,F,8,0,1,0,F-8
2003,1,F,8,0,1,0,F-8
2003,2,F,8,0,1,0,F-8
2004,1,F,8,0,1,0,F-8
2004,2,F,8,0,1,0,F-8
2005,1,F,8,0,1,0,F-8
2005,2,F,8,0,1,0,F-8
2006,1,F,8,0,1,0,F-8
2006,2,F,8,0,0,0,F-8
2007,1,F,8,0,1,0,F-8
2007,2,F,8,0,1,0,F-8
2008,1,F,8,0,0,0,F-8
2008,2,F,8,0,1,0,F-8
1982,1,F,9,NA,NA,NA,F-9
1982,2,F,9,0,0,0,F-9
1983,1,F,9,0,0,0,F-9
1983,2,F,9,0,0,0,F-9
1984,1,F,9,0,0,0,F-9
1984,2,F,9,0,1,0,F-9
1985,1,F,9,0,0,0,F-9
1985,2,F,9,0,0,0,F-9
1986,1,F,9,0,1,0,F-9
1986,2,F,9,0,0,0,F-9
1987,1,F,9,0,0,0,F-9
1987,2,F,9,0,1,0,F-9
1988,1,F,9,0,0,0,F-9
1988,2,F,9,0,0,0,F-9
1989,1,F,9,0,1,0,F-9
1989,2,F,9,0,0,0,F-9
1990,1,F,9,0,0,0,F-9
1990,2,F,9,0,0,0,F-9
1991,1,F,9,0,0,0,F-9
1991,2,F,9,0,1,0,F-9
1992,1,F,9,0,1,0,F-9
1992,2,F,9,0,0,0,F-9
1993,1,F,9,NA,NA,NA,F-9
1993,2,F,9,0,1,0,F-9
1994,1,F,9,0,0,0,F-9
1994,2,F,9,0,0,0,F-9
1995,1,F,9,0,1,0,F-9
1995,2,F,9,0,0,0,F-9
1996,1,F,9,0,1,0,F-9
1996,2,F,9,0,1,0,F-9
1997,1,F,9,0,0,0,F-9
1997,2,F,9,0,0,0,F-9
1998,1,F,9,0,0,0,F-9
1998,2,F,9,0,0,0,F-9
1999,1,F,9,0,0,0,F-9
1999,2,F,9,0,0,0,F-9
2000,1,F,9,0,0,0,F-9
2000,2,F,9,0,1,0,F-9
2001,1,F,9,0,0,0,F-9
2001,2,F,9,0,0,0,F-9
2002,1,F,9,0,0,0,F-9
2002,2,F,9,0,0,0,F-9
2003,1,F,9,0,0,0,F-9
2003,2,F,9,0,0,0,F-9
2004,1,F,9,0,0,0,F-9
2004,2,F,9,0,0,0,F-9
2005,1,F,9,0,0,0,F-9
2005,2,F,9,0,0,0,F-9
2006,1,F,9,0,0,0,F-9
2006,2,F,9,0,0,0,F-9
2007,1,F,9,0,0,0,F-9
2007,2,F,9,0,0,0,F-9
2008,1,F,9,0,0,0,F-9
2008,2,F,9,0,0,0,F-9
1982,1,F,10,NA,NA,NA,F-10
1982,2,F,10,0,0,0,F-10
1983,1,F,10,0,1,1,F-10
1983,2,F,10,0,1,0,F-10
1984,1,F,10,0,1,0,F-10
1984,2,F,10,0,1,0,F-10
1985,1,F,10,0,1,0,F-10
1985,2,F,10,0,1,0,F-10
1986,1,F,10,0,1,0,F-10
1986,2,F,10,0,1,0,F-10
1987,1,F,10,0,1,0,F-10
1987,2,F,10,0,1,0,F-10
1988,1,F,10,0,1,0,F-10
1988,2,F,10,0,1,0,F-10
1989,1,F,10,0,1,0,F-10
1989,2,F,10,0,1,0,F-10
1990,1,F,10,0,1,0,F-10
1990,2,F,10,0,0,0,F-10
1991,1,F,10,0,1,0,F-10
1991,2,F,10,0,1,0,F-10
1992,1,F,10,0,1,0,F-10
1992,2,F,10,0,1,0,F-10
1993,1,F,10,NA,NA,NA,F-10
1993,2,F,10,0,1,0,F-10
1994,1,F,10,0,1,0,F-10
1994,2,F,10,0,1,0,F-10
1995,1,F,10,0,1,0,F-10
1995,2,F,10,0,0,0,F-10
1996,1,F,10,0,1,0,F-10
1996,2,F,10,0,0,0,F-10
1997,1,F,10,0,1,0,F-10
1997,2,F,10,0,0,0,F-10
1998,1,F,10,0,1,0,F-10
1998,2,F,10,0,1,0,F-10
1999,1,F,10,0,1,0,F-10
1999,2,F,10,0,0,0,F-10
2000,1,F,10,0,0,0,F-10
2000,2,F,10,0,1,0,F-10
2001,1,F,10,0,0,0,F-10
2001,2,F,10,0,1,0,F-10
2002,1,F,10,0,1,0,F-10
2002,2,F,10,0,1,0,F-10
2003,1,F,10,0,1,0,F-10
2003,2,F,10,0,1,0,F-10
2004,1,F,10,0,1,0,F-10
2004,2,F,10,0,1,0,F-10
2005,1,F,10,0,1,0,F-10
2005,2,F,10,0,1,0,F-10
2006,1,F,10,0,1,0,F-10
2006,2,F,10,0,1,0,F-10
2007,1,F,10,0,1,0,F-10
2007,2,F,10,0,1,0,F-10
2008,1,F,10,0,1,0,F-10
2008,2,F,10,0,1,0,F-10
1982,1,F,11,NA,NA,NA,F-11
1982,2,F,11,0,0,0,F-11
1983,1,F,11,0,0,0,F-11
